TICKER,CUR_MKT_CAP,TRADE_DATE
FRT,26039.3266,2025-07-29
GMH,136.95,2025-07-29
ABB,11178.39703,2025-07-29
BSI,11274.56508,2025-07-29
BSQ,855.0,2025-07-29
CEO,12213.18536,2025-07-29
CQN,2394.09296,2025-07-29
DGC,38547.50892,2025-07-29
DSN,556.4225600000001,2025-07-29
HHP,830.9216899999999,2025-07-29
HPG,194573.05941999998,2025-07-29
HPX,1548.21808,2025-07-29
IJC,4967.39125,2025-07-29
NVT,733.05,2025-07-29
PAC,2171.38327,2025-07-29
PGI,2229.0256,2025-07-29
PGS,1739.95803,2025-07-29
SCR,3840.90772,2025-07-29
TSC,626.01138,2025-07-29
VFM,,2025-07-29
